ANO;LOCALIDAD_MADRE;EDAD_MADRE;SEXO;REGIMEN_SEGURIDAD_SOCIAL;TOTAL_NACIDOS
2009;00 - Bogotá;18;Femenino;Contributivo;1039
2009;00 - Bogotá;27;Femenino;Contributivo;1934
2009;00 - Bogotá;25;Masculino;Contributivo;2052
2009;00 - Bogotá;17;Masculino;No Asegurado;491
2009;00 - Bogotá;29;Femenino;Contributivo;2093
2009;00 - Bogotá;22;Masculino;Contributivo;1785
2009;00 - Bogotá;39;Masculino;Contributivo;560
2009;00 - Bogotá;26;Femenino;Contributivo;1910
2009;00 - Bogotá;25;Femenino;Contributivo;1868
2009;00 - Bogotá;27;Femenino;Subsidiado;429
2009;00 - Bogotá;21;Femenino;Contributivo;1591
2009;00 - Bogotá;19;Masculino;Subsidiado;1018
2009;00 - Bogotá;18;Masculino;Contributivo;1052
2009;00 - Bogotá;30;Masculino;Contributivo;1990
2009;00 - Bogotá;22;Femenino;Contributivo;1662
2009;00 - Bogotá;25;Femenino;Subsidiado;508
2009;00 - Bogotá;19;Femenino;Excepción;35
2009;00 - Bogotá;25;Masculino;No Asegurado;439
2009;00 - Bogotá;37;Masculino;Contributivo;760
2009;00 - Bogotá;19;Masculino;Contributivo;1288
2009;00 - Bogotá;18;Masculino;Subsidiado;898
2009;00 - Bogotá;18;Femenino;No Asegurado;643
2009;00 - Bogotá;32;Masculino;Contributivo;1603
2009;00 - Bogotá;20;Femenino;Contributivo;1505
2009;00 - Bogotá;17;Femenino;Contributivo;971
2009;00 - Bogotá;28;Femenino;Contributivo;2020
2009;00 - Bogotá;23;Femenino;Contributivo;1773
2009;00 - Bogotá;25;Masculino;Subsidiado;526
2009;00 - Bogotá;24;Femenino;Subsidiado;566
2009;00 - Bogotá;31;Femenino;Contributivo;1675
2009;00 - Bogotá;22;Masculino;Subsidiado;755
2009;00 - Bogotá;26;Femenino;Subsidiado;494
2009;00 - Bogotá;27;Masculino;Contributivo;2103
2009;00 - Bogotá;18;Masculino;No Asegurado;686
2009;00 - Bogotá;31;Masculino;Excepción;70
2009;00 - Bogotá;30;Femenino;No Asegurado;200
2009;00 - Bogotá;17;Masculino;Subsidiado;810
2009;00 - Bogotá;36;Masculino;No Asegurado;111
2009;00 - Bogotá;23;Masculino;Contributivo;1873
2009;00 - Bogotá;19;Masculino;Sin Dato;9
2009;00 - Bogotá;36;Masculino;Contributivo;911
2009;00 - Bogotá;28;Masculino;Contributivo;2049
2009;00 - Bogotá;34;Femenino;Contributivo;1151
2009;00 - Bogotá;35;Masculino;Contributivo;1109
2009;00 - Bogotá;24;Femenino;Contributivo;1797
2009;00 - Bogotá;20;Femenino;Subsidiado;856
2009;00 - Bogotá;19;Femenino;Contributivo;1224
2009;00 - Bogotá;40;Femenino;Contributivo;381
2009;00 - Bogotá;19;Femenino;No Asegurado;853
2009;00 - Bogotá;41;Masculino;Contributivo;261
2009;00 - Bogotá;24;Masculino;Subsidiado;586
2009;00 - Bogotá;17;Masculino;Contributivo;984
2009;00 - Bogotá;29;Masculino;No Asegurado;282
2009;00 - Bogotá;29;Masculino;Contributivo;2000
2009;00 - Bogotá;22;Masculino;No Asegurado;663
2009;00 - Bogotá;22;Masculino;Excepción;104
2009;00 - Bogotá;19;Femenino;Subsidiado;1012
2009;00 - Bogotá;39;Masculino;No Asegurado;55
2009;00 - Bogotá;29;Femenino;No Asegurado;277
2009;00 - Bogotá;30;Femenino;Excepción;58
2009;00 - Bogotá;41;Femenino;Contributivo;257
2009;00 - Bogotá;28;Femenino;No Asegurado;301
2009;00 - Bogotá;33;Femenino;Contributivo;1318
2009;00 - Bogotá;38;Masculino;Excepción;29
2009;00 - Bogotá;16;Femenino;Contributivo;623
2009;00 - Bogotá;33;Masculino;Contributivo;1360
2009;00 - Bogotá;20;Masculino;Contributivo;1530
2009;00 - Bogotá;20;Masculino;Subsidiado;921
2009;00 - Bogotá;21;Masculino;Contributivo;1706
2009;00 - Bogotá;44;Femenino;Contributivo;57
2009;00 - Bogotá;23;Masculino;Subsidiado;664
2009;00 - Bogotá;26;Masculino;Excepción;77
2009;00 - Bogotá;18;Femenino;Subsidiado;802
2009;00 - Bogotá;19;Masculino;No Asegurado;878
2009;00 - Bogotá;29;Femenino;Subsidiado;354
2009;00 - Bogotá;34;Masculino;Contributivo;1246
2009;00 - Bogotá;15;Masculino;Contributivo;322
2009;00 - Bogotá;30;Femenino;Contributivo;1807
2009;00 - Bogotá;21;Masculino;Subsidiado;846
2009;00 - Bogotá;31;Masculino;Contributivo;1670
2009;00 - Bogotá;16;Femenino;No Asegurado;305
2009;00 - Bogotá;32;Femenino;Contributivo;1510
2009;00 - Bogotá;38;Femenino;Contributivo;643
2009;00 - Bogotá;16;Femenino;Subsidiado;542
2009;00 - Bogotá;28;Masculino;Subsidiado;444
2009;00 - Bogotá;21;Femenino;No Asegurado;686
2009;00 - Bogotá;33;Masculino;Subsidiado;222
2009;00 - Bogotá;29;Femenino;Sin Dato;7
2009;00 - Bogotá;24;Masculino;Contributivo;1954
2009;00 - Bogotá;24;Masculino;No Asegurado;457
2009;00 - Bogotá;22;Femenino;Subsidiado;739
2009;00 - Bogotá;15;Femenino;Contributivo;273
2009;00 - Bogotá;21;Masculino;No Asegurado;717
2009;00 - Bogotá;32;Masculino;No Asegurado;170
2009;00 - Bogotá;17;Femenino;No Asegurado;449
2009;00 - Bogotá;38;Masculino;Contributivo;677
2009;00 - Bogotá;22;Femenino;No Asegurado;596
2009;00 - Bogotá;32;Masculino;Subsidiado;238
2009;00 - Bogotá;23;Masculino;No Asegurado;522
2009;00 - Bogotá;31;Masculino;No Asegurado;209
2009;00 - Bogotá;21;Femenino;Subsidiado;786
2009;00 - Bogotá;16;Masculino;Subsidiado;552
2009;00 - Bogotá;31;Masculino;Subsidiado;275
2009;00 - Bogotá;26;Masculino;Contributivo;2059
2009;00 - Bogotá;37;Femenino;Contributivo;775
2009;00 - Bogotá;32;Masculino;Excepción;57
2009;00 - Bogotá;26;Masculino;Subsidiado;486
2009;00 - Bogotá;24;Femenino;No Asegurado;472
2009;00 - Bogotá;28;Masculino;No Asegurado;290
2009;00 - Bogotá;34;Masculino;No Asegurado;134
2009;00 - Bogotá;42;Masculino;Contributivo;188
2009;00 - Bogotá;43;Femenino;Subsidiado;41
2009;00 - Bogotá;23;Femenino;Subsidiado;622
2009;00 - Bogotá;36;Femenino;Contributivo;878
2009;00 - Bogotá;37;Femenino;No Asegurado;79
2009;00 - Bogotá;35;Masculino;No Asegurado;98
2009;00 - Bogotá;15;Masculino;No Asegurado;165
2009;00 - Bogotá;25;Femenino;Excepción;90
2009;00 - Bogotá;23;Masculino;Excepción;89
2009;00 - Bogotá;26;Femenino;No Asegurado;363
2009;00 - Bogotá;15;Masculino;Subsidiado;258
2009;00 - Bogotá;28;Masculino;Excepción;96
2009;00 - Bogotá;17;Femenino;Subsidiado;795
2009;00 - Bogotá;28;Femenino;Subsidiado;409
2009;00 - Bogotá;40;Masculino;Contributivo;380
2009;00 - Bogotá;31;Femenino;Subsidiado;250
